Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
BE,2011,2011,2011,1,0,4,Re-Import,442,Luxembourg,LUX,0,World,WLD,,,,,,,,4,"Capital goods (except transport equipment), and parts and accessories thereof",1,No Quantity,,,,,,,16879748,,,0
BE,2011,2011,2011,1,0,1,Import,446,"China, Macao SAR",MAC,0,World,WLD,,,,,,,,4,"Capital goods (except transport equipment), and parts and accessories thereof",1,No Quantity,,,,,,,1252924268,,,0
BE,2011,2011,2011,1,0,2,Export,446,"China, Macao SAR",MAC,0,World,WLD,,,,,,,,4,"Capital goods (except transport equipment), and parts and accessories thereof",1,No Quantity,,,,,,,59217768,,,0
BE,2011,2011,2011,1,0,3,Re-Export,446,"China, Macao SAR",MAC,0,World,WLD,,,,,,,,4,"Capital goods (except transport equipment), and parts and accessories thereof",1,No Quantity,,,,,,,59217768,,,0
BE,2011,2011,2011,1,0,4,Re-Import,446,"China, Macao SAR",MAC,0,World,WLD,,,,,,,,4,"Capital goods (except transport equipment), and parts and accessories thereof",1,No Quantity,,,,,,,564316,,,0
BE,2011,2011,2011,1,0,1,Import,450,Madagascar,MDG,0,World,WLD,,,,,,,,4,"Capital goods (except transport equipment), and parts and accessories thereof",1,No Quantity,,,,,,,365969900,,,0
BE,2011,2011,2011,1,0,2,Export,450,Madagascar,MDG,0,World,WLD,,,,,,,,4,"Capital goods (except transport equipment), and parts and accessories thereof",1,No Quantity,,,,,,,54834876,,,0
BE,2011,2011,2011,1,0,3,Re-Export,450,Madagascar,MDG,0,World,WLD,,,,,,,,4,"Capital goods (except transport equipment), and parts and accessories thereof",1,No Quantity,,,,,,,42449279,,,0
BE,2011,2011,2011,1,0,1,Import,454,Malawi,MWI,0,World,WLD,,,,,,,,4,"Capital goods (except transport equipment), and parts and accessories thereof",1,No Quantity,,,,,,,423001046,,,0
BE,2011,2011,2011,1,0,2,Export,454,Malawi,MWI,0,World,WLD,,,,,,,,4,"Capital goods (except transport equipment), and parts and accessories thereof",1,No Quantity,,,,,,,16529177,,,0
BE,2011,2011,2011,1,0,3,Re-Export,454,Malawi,MWI,0,World,WLD,,,,,,,,4,"Capital goods (except transport equipment), and parts and accessories thereof",1,No Quantity,,,,,,,1705369,,,0
BE,2011,2011,2011,1,0,1,Import,458,Malaysia,MYS,0,World,WLD,,,,,,,,4,"Capital goods (except transport equipment), and parts and accessories thereof",1,No Quantity,,,,,,,75352645407,,,0
BE,2011,2011,2011,1,0,2,Export,458,Malaysia,MYS,0,World,WLD,,,,,,,,4,"Capital goods (except transport equipment), and parts and accessories thereof",1,No Quantity,,,,,,,81470375699,,,0
BE,2011,2011,2011,1,0,4,Re-Import,458,Malaysia,MYS,0,World,WLD,,,,,,,,4,"Capital goods (except transport equipment), and parts and accessories thereof",1,No Quantity,,,,,,,12029052,,,0
BE,2011,2011,2011,1,0,1,Import,462,Maldives,MDV,0,World,WLD,,,,,,,,4,"Capital goods (except transport equipment), and parts and accessories thereof",1,No Quantity,,,,,,,201726004,,,0
BE,2011,2011,2011,1,0,2,Export,462,Maldives,MDV,0,World,WLD,,,,,,,,4,"Capital goods (except transport equipment), and parts and accessories thereof",1,No Quantity,,,,,,,1378,,,0
BE,2011,2011,2011,1,0,1,Import,466,Mali,MLI,0,World,WLD,,,,,,,,4,"Capital goods (except transport equipment), and parts and accessories thereof",1,No Quantity,,,,,,,442416266,,,0
BE,2011,2011,2011,1,0,2,Export,466,Mali,MLI,0,World,WLD,,,,,,,,4,"Capital goods (except transport equipment), and parts and accessories thereof",1,No Quantity,,,,,,,71828472,,,0
BE,2011,2011,2011,1,0,3,Re-Export,466,Mali,MLI,0,World,WLD,,,,,,,,4,"Capital goods (except transport equipment), and parts and accessories thereof",1,No Quantity,,,,,,,22255266,,,0
BE,2011,2011,2011,1,0,1,Import,470,Malta,MLT,0,World,WLD,,,,,,,,4,"Capital goods (except transport equipment), and parts and accessories thereof",1,No Quantity,,,,,,,1385168732,,,0
BE,2011,2011,2011,1,0,2,Export,470,Malta,MLT,0,World,WLD,,,,,,,,4,"Capital goods (except transport equipment), and parts and accessories thereof",1,No Quantity,,,,,,,1574536380,,,0
BE,2011,2011,2011,1,0,1,Import,478,Mauritania,MRT,0,World,WLD,,,,,,,,4,"Capital goods (except transport equipment), and parts and accessories thereof",1,No Quantity,,,,,,,718729684,,,0
BE,2011,2011,2011,1,0,1,Import,480,Mauritius,MUS,0,World,WLD,,,,,,,,4,"Capital goods (except transport equipment), and parts and accessories thereof",1,No Quantity,,,,,,,591848753,,,0
BE,2011,2011,2011,1,0,2,Export,480,Mauritius,MUS,0,World,WLD,,,,,,,,4,"Capital goods (except transport equipment), and parts and accessories thereof",1,No Quantity,,,,,,,55505330,,,0
BE,2011,2011,2011,1,0,3,Re-Export,480,Mauritius,MUS,0,World,WLD,,,,,,,,4,"Capital goods (except transport equipment), and parts and accessories thereof",1,No Quantity,,,,,,,37225813,,,0
BE,2011,2011,2011,1,0,1,Import,484,Mexico,MEX,0,World,WLD,,,,,,,,4,"Capital goods (except transport equipment), and parts and accessories thereof",1,No Quantity,,,,,,,118928912225,,,0
BE,2011,2011,2011,1,0,2,Export,484,Mexico,MEX,0,World,WLD,,,,,,,,4,"Capital goods (except transport equipment), and parts and accessories thereof",1,No Quantity,,,,,,,82958986790,,,0
BE,2011,2011,2011,1,0,1,Import,490,"Other Asia, nes",,0,World,WLD,,,,,,,,4,"Capital goods (except transport equipment), and parts and accessories thereof",1,No Quantity,,,,,,,91428893456,,,0
BE,2011,2011,2011,1,0,2,Export,490,"Other Asia, nes",,0,World,WLD,,,,,,,,4,"Capital goods (except transport equipment), and parts and accessories thereof",1,No Quantity,,,,,,,155178528056,,,0
BE,2011,2011,2011,1,0,3,Re-Export,490,"Other Asia, nes",,0,World,WLD,,,,,,,,4,"Capital goods (except transport equipment), and parts and accessories thereof",1,No Quantity,,,,,,,11427098469,,,0
BE,2011,2011,2011,1,0,4,Re-Import,490,"Other Asia, nes",,0,World,WLD,,,,,,,,4,"Capital goods (except transport equipment), and parts and accessories thereof",1,No Quantity,,,,,,,584106840,,,0
